age,year_income,work_experience,credit_grade,percentage_rate,credit_percent_income,cb_person_default,cb_person_cred_hist_length,home_status_OTHER,home_status_OWN,home_status_RENT,credit_purpose_EDUCATION,credit_purpose_HOMEIMPROVEMENT,credit_purpose_MEDICAL,credit_purpose_PERSONAL,credit_purpose_VENTURE,credit_history_ratio
29,115000,3.0,4,13.48,0.03,0,10,0,0,0,0,0,0,0,0,0.9090909090909091
33,114000,0.0,3,16.77,0.14,0,5,0,0,0,1,0,0,0,0,0.3333333333333333
24,64000,2.0,2,17.56,0.19,1,4,0,0,0,0,0,0,0,0,0.6666666666666666
23,75885,7.0,4,11.03,0.04,0,4,0,0,0,1,0,0,0,0,0.8
30,115000,7.0,5,10.25,0.06,0,9,0,0,1,0,0,0,0,0,0.75
26,53100,10.0,6,7.9,0.24,0,3,0,1,0,0,0,0,0,1,0.375
24,54417,1.0,4,11.66,0.18,1,3,0,0,0,0,0,1,0,0,0.5
32,29000,0.0,3,18.25,0.28,0,6,0,0,1,1,0,0,0,0,0.42857142857142855
28,48000,2.0,6,10.99,0.08,0,7,0,0,1,0,0,0,0,0,0.7
27,76788,0.0,5,12.42,0.22,0,10,0,0,0,0,0,0,0,0,1.1111111111111112
21,37423,5.0,6,7.88,0.07,0,4,0,0,1,0,0,1,0,0,1.3333333333333333
43,45000,3.0,6,6.91,0.13,0,11,0,0,0,0,0,1,0,0,0.44
24,100995,6.0,6,7.51,0.16,0,2,0,0,0,0,0,0,0,0,0.3333333333333333
30,78000,2.0,5,11.11,0.26,0,5,0,0,0,1,0,0,0,0,0.4166666666666667
25,53004,3.0,6,5.42,0.09,0,2,0,0,0,0,0,0,0,1,0.2857142857142857
24,55000,8.0,6,7.49,0.03,0,4,0,0,0,0,0,0,0,1,0.6666666666666666
29,193086,3.0,5,10.59,0.06,0,6,0,0,0,0,0,0,0,0,0.5454545454545454
26,69000,10.0,6,7.14,0.09,0,3,0,0,0,0,0,1,0,0,0.375
51,76960,0.0,5,9.99,0.19,0,20,0,0,0,0,0,0,1,0,0.6060606060606061
24,51630,0.0,5,9.99,0.09,0,3,0,0,1,0,0,1,0,0,0.5
25,150000,9.0,5,10.37,0.17,0,2,0,0,0,0,0,1,0,0,0.2857142857142857
30,45000,0.0,5,10.37,0.11,0,6,0,0,1,0,0,1,0,0,0.5
30,98000,2.0,6,7.14,0.05,0,5,0,0,0,0,1,0,0,0,0.4166666666666667
22,56004,5.0,4,13.98,0.21,0,3,0,1,0,1,0,0,0,0,0.75
24,120000,8.0,5,12.18,0.13,0,4,0,0,1,0,0,0,0,1,0.6666666666666666
29,71000,4.0,6,8.94,0.14,0,5,0,0,1,0,0,0,0,0,0.45454545454545453
25,48000,0.0,4,13.49,0.49,1,4,0,0,0,0,0,1,0,0,0.5714285714285714
32,46000,4.0,6,7.51,0.2,0,5,0,0,1,0,0,1,0,0,0.35714285714285715
27,73000,3.0,5,12.69,0.25,0,6,0,0,0,0,0,0,0,0,0.6666666666666666
27,75000,3.0,5,11.49,0.05,0,7,0,0,0,0,0,0,0,1,0.7777777777777778
28,75000,11.0,6,7.9,0.04,0,8,0,0,0,0,0,0,1,0,0.8
25,66125,2.0,4,12.53,0.06,1,4,0,0,0,1,0,0,0,0,0.5714285714285714
29,63000,5.0,3,15.33,0.16,1,7,0,0,1,0,0,0,1,0,0.6363636363636364
25,43000,6.0,6,7.51,0.12,0,3,0,0,1,0,0,0,1,0,0.42857142857142855
25,110000,4.0,5,9.88,0.06,0,2,0,0,0,0,0,0,0,1,0.2857142857142857
24,65004,0.0,5,9.99,0.05,0,4,0,0,1,0,1,0,0,0,0.6666666666666666
24,39000,8.0,3,14.42,0.18,0,4,0,0,1,0,0,0,1,0,0.6666666666666666
33,124000,10.0,3,14.96,0.19,1,6,0,1,0,0,0,0,1,0,0.4
